net,length_um
_190_,758.9
_233_,753.71
net19,752.64
_173_,738.46
_020_,709.2
_193_,701.82
net18,696.62
net17,676.16
net14,675.66
_182_,673.4
net31,633.16
_198_,622.46
net15,618.14
net8,608.815
net7,596.62
_002_,562.21
_222_,558.8
net76,552.32
net1,546.7
net16,542.18
_220_,530.2
_183_,528.44
_203_,520.6
_213_,511.96
_212_,502.1
net3,488.62
_057_,479.465
_200_,467.73
net83,467.69
net4,458.395
net2,456.755
_026_,442.82
net30,440.46
_042_,437.9
_188_,435.66
_074_,435.36
net11,435.18
_117_,432.395
_177_,423.16
_093_,416.98
_006_,412.41
_114_,410.27
_060_,402.48
_028_,400.34
_003_,397.95
_066_,390.7
_115_,386.1
_077_,385.76
_201_,382.94
_081_,382.48
net20,381.82
net57,379.48
_105_,378.02
_116_,366.6
_107_,366.46
_055_,364.48
_041_,364.015
net5,364
_236_,357.4
net12,357.13
net73,353.02
_018_,350.76
_061_,348.73
_056_,347.72
_008_,346.08
_004_,345.36
net77,343.37
_067_,342.9
_044_,342.12
_027_,341.98
_174_,338.62
_146_,333.98
net51,332.52
_104_,332.12
_012_,330.2
_159_,327.92
_001_,327.4
_031_,325.515
net23,325.42
_075_,323.18
net42,322.88
_054_,322.4
_082_,322.36
_205_,321.76
_033_,316.14
_195_,313.76
_019_,313.48
_078_,313.2
_109_,312.86
_013_,312.4
_102_,309.8
_176_,308.08
_160_,305.42
_232_,304.66
_194_,302.38
_010_,301.215
_103_,300.92
_179_,298.86
_095_,297.36
net24,296.62
_089_,295.08
_113_,292.78
net25,292.2
_023_,289.42
_099_,286.34
_240_,286.24
_083_,286.08
_235_,285.08
_021_,284.66
_005_,280.24
_180_,280.06
net85,279.58
_154_,277.44
_196_,275.22
_215_,275.08
net6,273
_135_,272.34
_053_,271.82
net60,269.76
_241_,267.06
_161_,266.89
_119_,265.54
_172_,264.44
_145_,261.78
_058_,261.54
_130_,261.2
_226_,260.54
_207_,260.42
_064_,260.38
_239_,258.08
net50,255.42
_016_,253.24
net49,252.48
_143_,252.34
_068_,251.44
_148_,249.88
_175_,248.28
_112_,247.6
_139_,246
_218_,243.12
_187_,241.98
_080_,241.74
_111_,240.3
net9,238.72
net22,238.48
_086_,238.3
_228_,236.18
_050_,235.1
_221_,233.62
_237_,230.88
_052_,229.22
_165_,228.96
_035_,228.44
_137_,228.16
_138_,227.78
_157_,227.02
_069_,226.9
_121_,226.85
_191_,225.38
_110_,224.92
_100_,223.78
_039_,223.16
_097_,222.68
_118_,221.38
_171_,221.22
_184_,220.88
_192_,219.88
_147_,218.72
_088_,213.56
_096_,213.56
_231_,212.12
_025_,209.42
net10,206.66
net32,205.54
_034_,202.86
net27,201.4
_166_,201
_091_,200.92
_224_,198.34
_142_,196.08
_204_,194.1
_128_,193.48
_126_,192.48
_079_,191.46
_048_,191.38
_037_,191.04
_151_,190.62
_084_,190.5
_036_,188.24
_007_,187.83
_216_,186.74
net35,186.66
_092_,185.62
_168_,183.48
net40,181.54
_149_,181.48
net70,181.44
_065_,181.06
_144_,180.12
net69,178.82
_098_,178.36
_181_,177.84
_090_,176.94
_014_,176.79
_047_,176.08
_022_,168.6
_038_,168.02
_163_,166.48
_106_,166.3
_125_,166
_029_,165.62
net59,164.82
_238_,161.74
_158_,159.74
net63,158.54
_087_,157.88
_167_,156.58
_009_,156.28
_051_,155.4
_085_,155.22
_202_,155.22
_150_,154.92
_136_,152.32
_134_,146
_120_,145.24
_156_,144.22
_017_,144.16
_030_,143.32
net21,142.38
_169_,141.42
_072_,139.62
_186_,139.22
_152_,138.44
_229_,136.11
_178_,133.72
_108_,132.62
_214_,131.5
net79,129.6
net47,129.12
_032_,128.84
_122_,128.6
net81,128.34
net41,127.72
_225_,124.66
net36,121.08
_210_,121.04
_124_,116.61
_234_,112.78
_101_,111.2
_015_,109.84
net26,109.74
net13,109.7
_162_,109.64
_155_,107.5
_059_,107.4
_170_,105.56
net43,104.5
_132_,103.9
net55,101.42
net78,101.32
_045_,98.94
_133_,95.32
_211_,94.52
net54,92.88
_227_,92.42
_127_,89.38
_209_,85.12
_049_,84.94
_219_,83.96
net33,81.4
_230_,81.28
net29,81
net52,80.2
_131_,79.6
_153_,79.44
net34,77.32
_197_,76.38
net46,75.14
_223_,72.08
_070_,69.24
net80,68.56
_024_,68.12
net28,68.08
net86,67.58
_208_,64.94
net74,64.62
net56,61.98
_140_,60.4
_071_,56.98
_040_,56.62
_164_,55.82
_094_,54.96
net38,54.56
net61,54.32
net68,53.22
_073_,50.86
net39,48.98
net72,48.16
net37,47.94
_123_,46.1
_189_,45.48
_206_,45.02
_062_,44.38
net58,43.28
_043_,42.62
_129_,42.46
net62,41.48
net75,41.14
_000_,41.02
_076_,40.7
net45,37.94
_185_,36.16
net84,34.9
_141_,31.7
_011_,26.12
net44,23.2
_046_,20.38
_199_,17.22
net82,16.42
_217_,14.92
net64,14
c[1],12.86
b[1],12.84
net53,12.64
z[2],12.05
z[0],11.71
z[4],11.71
b[6],11
b[0],10.54
b[7],10.54
b[2],10.2
b[3],10.2
b[4],10.2
z[6],10.11
b[5],9.62
_063_,9.54
net48,9.4
c[2],8.72
c[0],8.38
z[7],7.47
a[2],6.77
a[0],6.43
z[3],6.43
a[6],6.31
a[4],5.97
net67,5.72
a[5],5.41
a[1],4.95
a[3],4.61
a[7],4.61
net65,4.42
z[1],4.39
z[5],4.39
net71,2.06
net66,1.48
