net,length_um
clk_div.slow_clk,744.575
_1344_,524.94
clknet_1_0__leaf_clk,516.3
_1352_,513.58
_0674_,511.72
_2341_,503.18
clknet_1_1__leaf_clk,443.82
_2296_,442.17
_2585_,428.76
_2511_,421.62
_2340_,415.25
_2474_,406.99
_0014_,377.64
_2653_,371.26
_2408_,334.82
_2547_,331.56
_2796_,322
_1351_,306.62
_2690_,306.42
_1347_,277.61
_2608_,277.5
_2676_,277.33
_1735_,269.11
_2759_,264.45
_2047_,263.44
_2497_,261.33
_0665_,254.93
alu.ALUResult\[23\],248.12
_0837_,245.21
alu.ALUResult\[1\],234.73
_1897_,234.46
_2027_,233.54
_0594_,232.92
_0655_,232.885
alu.ALUResult\[0\],229.7
_1992_,227.22
_1989_,224.66
_1907_,221.05
_0567_,220.65
_2475_,220.3
_2053_,215.68
_0606_,214.75
_0640_,214.69
_1635_,214.49
_1954_,213.88
_1767_,213.46
_0671_,212.73
_2534_,211.66
_2334_,210.48
_2451_,210.1
_1346_,209.51
_0656_,209.49
_2019_,206.69
_1972_,205.64
_0600_,203.21
_0598_,202.47
_1888_,202.28
_0635_,201.54
_2409_,201.26
_0649_,201.13
_1792_,200.6
_1738_,199.81
_1999_,198.57
alu.ALUResult\[25\],198.21
_0664_,198.07
_0821_,197.92
_1670_,194.9
_2570_,193.41
_1737_,191.16
_1797_,186.56
_2523_,186.16
clk,180.96
_0589_,180.28
_2106_,180.08
_2819_,179.46
_2512_,178.735
_2089_,178.49
_0605_,178.26
_0670_,178.15
_2486_,177.96
_0639_,177.17
clknet_leaf_9_clk,176.12
_0668_,175.97
_0595_,174.76
clknet_leaf_11_clk,174.56
clknet_leaf_0_clk,172.78
_2782_,172.25
_0590_,171.9
_0545_,171.85
_0574_,170.76
_1789_,170.7
_0650_,170.03
_1768_,170.02
alu.ALUResult\[2\],169.63
_0546_,169.01
_0641_,168.94
_0607_,168.83
_0644_,168.2
_2702_,166
_2691_,165.64
_1902_,163.5
_0611_,162.87
_2797_,162.74
_0648_,162.36
_2059_,161.58
_1816_,161.51
_0566_,161.47
_1165_,160.14
_0918_,159.26
_1701_,159.1
_0869_,158.29
_0580_,158.28
alu.ALUResult\[22\],157.84
_1733_,157.72
_1252_,155.26
_1697_,154.97
_1055_,154.5
_0581_,154.42
_0593_,154.32
