net,length_um
_076_,206.25
net1,204.23
_155_,196.12
_075_,191.85
one_second_counter\[17\],180.83
one_second_counter\[12\],175.42
_153_,173.915
one_second_counter\[19\],167.54
_082_,167.06
_159_,157.66
_156_,155.02
_060_,149.46
_145_,148.46
_162_,143.82
_154_,142.38
one_second_counter\[0\],140.66
one_second_counter\[18\],139.84
net3,139.17
one_second_counter\[8\],137.36
_038_,136.77
_114_,136.43
one_second_counter\[10\],133.2
one_second_counter\[9\],129.4
_097_,129.12
_120_,127.76
net2,126.88
one_second_counter\[20\],126.79
one_second_counter\[1\],126.32
_157_,124.94
_094_,120.06
one_second_counter\[4\],119.635
one_second_counter\[5\],119.26
one_second_counter\[23\],119
_102_,117.41
_014_,116.88
one_second_counter\[22\],116.51
_108_,115.34
_105_,114.94
_025_,114.76
one_second_counter\[16\],109.07
_048_,106.8
_087_,106.73
_037_,105.79
one_second_counter\[7\],105.61
_030_,104.47
one_second_counter\[21\],104.17
_100_,103.88
_007_,103.745
one_second_counter\[26\],103.63
one_second_counter\[13\],103.35
one_second_counter\[24\],103.16
_158_,102.76
_011_,100.58
one_second_counter\[2\],100.16
_055_,100.11
_161_,99.96
_000_,99.72
_062_,99.34
_129_,99.2
_008_,98.1
_138_,97.12
_070_,94.96
one_second_counter\[25\],94.77
_098_,94.38
_006_,94.24
_127_,92.14
one_second_counter\[11\],91.38
_021_,89.46
_059_,89.44
_019_,88.92
reset,88.89
_032_,85.85
_068_,85.74
_077_,85.6
_069_,85.58
one_second_counter\[14\],85.04
_039_,84.11
_126_,82.94
clknet_2_1__leaf_clk,80.04
clknet_2_2__leaf_clk,79.94
_045_,78.81
_119_,78.44
_065_,77.22
_047_,75.84
_022_,75.78
_104_,73.84
_115_,73.25
_057_,72.83
_080_,72.47
_125_,71.8
clknet_2_0__leaf_clk,70.27
_003_,69.65
_121_,69.02
_163_,67.64
_148_,67.56
_054_,67.28
_017_,67
_086_,66.71
one_second_counter\[15\],66.55
_118_,65.74
_128_,64.96
_160_,63.08
_101_,62.36
_073_,61.96
_066_,60.12
_150_,59.4
_050_,58.41
_106_,58.34
one_second_counter\[6\],56.92
one_second_counter\[3\],56.08
clknet_0_clk,55.79
_092_,55.12
_136_,54.44
_116_,54.1
_053_,53.56
_143_,52.38
_051_,51.79
_142_,51.76
_090_,50.02
_107_,49.28
_061_,49.02
clknet_2_3__leaf_clk,48.83
_009_,47.17
_110_,46.92
_012_,46.4
_134_,46.28
_067_,46.06
_088_,45.24
_124_,44.74
_133_,44.58
_034_,44
_031_,43.54
_085_,43.46
_005_,43.22
_023_,42.26
_095_,41.6
_056_,40.43
_109_,40.22
_103_,40.08
_074_,39.02
_113_,38.92
_026_,38.46
_040_,36.33
_099_,36.02
_130_,35.94
_146_,34.56
_046_,33.93
_015_,33.22
_111_,33.1
_135_,32.78
_044_,32.38
_029_,32.34
clk,31.29
_042_,31.21
_001_,30.16
_083_,30.1
_149_,29.6
_078_,29.24
_151_,29.24
_052_,29.17
_122_,28.8
_140_,28.8
_033_,28.5
_112_,28.48
_147_,27.74
_123_,27.32
_137_,27.32
_117_,27.28
_096_,26.98
_081_,26.94
_035_,26.52
_058_,26.18
_004_,25.92
_131_,24.88
_063_,24.46
_028_,24.34
_020_,24.26
_091_,23.82
_079_,22.58
_132_,22.02
_010_,21.82
_071_,21.54
_016_,21.26
_043_,21.25
_024_,21.14
_093_,20.26
_084_,19.72
_002_,19.2
_141_,18.82
_072_,11.9
_089_,11.58
_064_,11.24
_144_,10.12
_013_,9.74
_027_,9.25
_152_,8.44
_049_,7.83
_018_,7.44
_041_,7.06
count[0],5.29
count[1],5.29
count[2],5.29
_036_,3.45
_139_,2.96
